index,frequency_hz,wavelength_m,classification,cortical_regions,activities,frequency_11_decimal,wavelength_11_decimal
1,0.5,599584916.0,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5,599584916
2,0.50053021866,598949767.313935,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50053021866,598949767.313935
3,0.50106099958,598315291.454119,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50106099958,598315291.454119
4,0.50159234336,597681487.703321,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50159234336,597681487.703321
5,0.5021242506,597048355.345855,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5021242506,597048355.345855
6,0.50265672189,596415893.679436,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50265672189,596415893.679436
7,0.50318975783,595784101.991367,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50318975783,595784101.991367
8,0.50372335903,595152979.558658,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50372335903,595152979.558658
9,0.50425752608,594522525.68351,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50425752608,594522525.68351
10,0.50479225957,593892739.66953,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50479225957,593892739.66953
11,0.50532756012,593263620.786502,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50532756012,593263620.786502
12,0.50586342832,592635168.341042,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50586342832,592635168.341042
13,0.50639986478,592007381.617769,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50639986478,592007381.617769
14,0.50693687009,591380259.926203,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50693687009,591380259.926203
15,0.50747444486,590753802.55395,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50747444486,590753802.55395
16,0.5080125897,590128008.790173,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5080125897,590128008.790173
17,0.50855130521,589502877.937172,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50855130521,589502877.937172
18,0.50909059199,588878409.298691,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50909059199,588878409.298691
19,0.50963045065,588254602.168364,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.50963045065,588254602.168364
20,0.5101708818,587631455.841351,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5101708818,587631455.841351
21,0.51071188604,587008969.625821,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51071188604,587008969.625821
22,0.51125346398,586387142.819883,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51125346398,586387142.819883
23,0.51179561623,585765974.723148,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51179561623,585765974.723148
24,0.5123383434,585145464.636719,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.5123383434,585145464.636719
25,0.51288164609,584525611.874582,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51288164609,584525611.874582
26,0.51342552493,583906415.717983,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51342552493,583906415.717983
27,0.51396998051,583287875.495225,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51396998051,583287875.495225
28,0.51451501346,582669990.490582,Delta,"Frontal Lobe, Occipital Lobe","Deep sleep, Unconsciousness, Healing, Regeneration",0.51451501346,582669990.490582
